pref_id,pref,min_wage
1,北海道,861
2,青森,790
3,岩手,790
4,宮城,824
5,秋田,790
6,山形,790
7,福島,798
8,茨城,849
9,栃木,853
10,群馬,835
11,埼玉,926
12,千葉,923
13,東京,1013
14,神奈川,1011
15,新潟,830
16,富山,848
17,石川,832
18,福井,829
19,山梨,837
20,長野,848
21,岐阜,851
22,静岡,885
23,愛知,926
24,三重,873
25,滋賀,866
26,京都,909
27,大阪,964
28,兵庫,899
29,奈良,837
30,和歌山,830
31,鳥取,790
32,島根,790
33,岡山,833
34,広島,871
35,山口,829
36,徳島,793
37,香川,818
38,愛媛,790
39,高知,790
40,福岡,841
41,佐賀,790
42,長崎,790
43,熊本,790
44,大分,790
45,宮崎,790
46,鹿児島,790
47,沖縄,790
